#,–¼‘O,x’l,y’l
,FlyEnemy,500,300
,FlyEnemy,600,300
,FlyEnemy,350,300
,FlyEnemy,400,300
,FlyEnemy,450,300
,FlyEnemy,500,300
,FlyEnemy,550,300
,FlyEnemy,600,300
,FlyEnemy,650,300
,FlyEnemy,700,300
,FlyEnemy,750,300
,FlyEnemy,800,300
,FlyEnemy,850,300
,FlyEnemy,900,300
,FlyEnemy,950,300
,FlyEnemy,1000,300
,FlyEnemy,350,400
,FlyEnemy,400,400
,FlyEnemy,450,400
,FlyEnemy,500,400
,FlyEnemy,550,400
,FlyEnemy,600,400
,FlyEnemy,650,400
,FlyEnemy,700,400
,FlyEnemy,750,400
,FlyEnemy,800,400
,FlyEnemy,850,400
,FlyEnemy,900,400
,FlyEnemy,950,400
,FlyEnemy,1000,400
,FlyEnemy,350,500
,FlyEnemy,400,500
,FlyEnemy,450,500
,FlyEnemy,500,500
,FlyEnemy,550,500
,FlyEnemy,600,500
,FlyEnemy,650,500
,FlyEnemy,700,500
,FlyEnemy,750,500
,FlyEnemy,800,500
,FlyEnemy,850,500
,FlyEnemy,900,500
,FlyEnemy,950,500
,FlyEnemy,1000,500
,FlyEnemy,350,600
,FlyEnemy,400,600
,FlyEnemy,450,600
,FlyEnemy,500,600
,FlyEnemy,550,600
